,Unnamed: 0,name,nba_career_length,Games,Points,Rebounds,Assists,FGP,FTP,EFGP,best_year,TFGP,WS,url,allstar
1711,1711,Jermaine Taylor,2.0,122.0,16.2,3.9,1.4,46.6,76.4,54.8,1.0,37.6,14.6,tayloje02.html,False
1712,1712,Johnny Taylor,3.0,62.0,17.3,7.2,2.0,49.7,69.2,53.9,2.0,33.7,12.0,taylojo01.html,False
1713,1713,Maurice Taylor,9.0,98.0,12.9,6.1,1.2,49.7,64.2,49.9,3.0,31.3,,tayloma01.html,False
1714,1714,Tyshawn Taylor,2.0,146.0,10.8,2.2,3.9,47.7,70.8,52.9,2.0,37.0,15.1,tayloty01.html,False
1715,1715,Vince Taylor,1.0,120.0,12.1,2.9,1.8,50.3,64.5,,1.0,,,taylovi01.html,False
1716,1716,Terry Teagle,11.0,110.0,19.9,7.3,1.5,53.8,75.5,,8.0,,,teaglte01.html,False
1717,1717,Marquis Teague,3.0,40.0,10.0,2.5,4.8,41.2,71.4,44.9,1.0,32.5,3.5,teaguma01.html,False
1718,1718,Ira Terrell,2.0,80.0,21.4,13.5,,55.5,57.8,,1.0,,,terreir01.html,False
1719,1719,Chuck Terry,5.0,58.0,14.6,7.3,,45.2,81.9,,2.0,,,terrych01.html,False
1720,1720,Claude Terry,6.0,76.0,20.6,4.9,,47.2,74.0,,1.0,,,terrycl01.html,True
1721,1721,Jason Terry,19.0,129.0,11.3,2.3,3.8,44.3,78.4,52.9,5.0,37.4,13.2,terryja01.html,False
1722,1722,Hasheem Thabeet,5.0,100.0,10.3,8.5,0.4,61.1,62.5,61.1,2.0,,19.9,thabeha01.html,False
1723,1723,Reggie Theus,13.0,91.0,12.9,4.3,4.4,46.9,81.0,,8.0,,,theusre01.html,True
1724,1724,Peter Thibeaux,2.0,106.0,14.1,6.1,0.9,56.3,72.7,,2.0,,,thibepe01.html,False
1725,1725,David Thirdkill,5.0,94.0,13.4,5.6,2.2,49.9,66.7,,1.0,,,thirdda01.html,False
1726,1726,Billy Thomas,3.0,137.0,8.4,2.1,1.2,42.7,72.2,56.8,1.0,38.9,,thomabi01.html,False
1727,1727,Carl Thomas,3.0,113.0,10.4,4.0,2.2,47.5,75.3,58.2,3.0,41.8,,thomaca01.html,False
1728,1728,Charles Thomas,1.0,109.0,6.5,3.2,2.2,44.7,74.2,55.1,1.0,36.1,,thomach01.html,False
